Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
201	-0.0543	9.04	0.18546	5.141	5.901	6.399	6.68	7.139	7.467	7.98	9.04	10.249	10.967	11.483	12.296	12.856	13.989	16.182
202	-0.0547	9.0328	0.18558	5.136	5.895	6.392	6.673	7.132	7.46	7.973	9.033	10.242	10.96	11.476	12.289	12.849	13.982	16.176
203	-0.0551	9.0256	0.1857	5.13	5.889	6.386	6.667	7.125	7.453	7.966	9.026	10.234	10.952	11.469	12.282	12.842	13.975	16.171
204	-0.0555	9.0184	0.18582	5.124	5.883	6.38	6.66	7.118	7.446	7.96	9.018	10.227	10.945	11.461	12.275	12.835	13.969	16.165
205	-0.0559	9.0112	0.18593	5.119	5.877	6.373	6.654	7.112	7.439	7.953	9.011	10.22	10.938	11.454	12.267	12.828	13.962	16.159
206	-0.0563	9.004	0.18605	5.113	5.871	6.367	6.648	7.105	7.433	7.946	9.004	10.212	10.93	11.447	12.26	12.821	13.955	16.153
207	-0.0567	8.9968	0.18617	5.108	5.865	6.361	6.641	7.098	7.426	7.939	8.997	10.205	10.923	11.44	12.253	12.814	13.948	16.148
208	-0.0571	8.9897	0.18628	5.102	5.859	6.355	6.635	7.092	7.419	7.932	8.99	10.198	10.916	11.432	12.246	12.807	13.942	16.142
209	-0.0575	8.9825	0.1864	5.097	5.853	6.348	6.628	7.085	7.412	7.925	8.983	10.191	10.909	11.425	12.239	12.8	13.935	16.136
210	-0.0578	8.9754	0.18651	5.091	5.847	6.342	6.622	7.079	7.406	7.918	8.975	10.183	10.901	11.418	12.232	12.793	13.928	16.13
211	-0.0582	8.9682	0.18662	5.086	5.841	6.336	6.616	7.072	7.399	7.911	8.968	10.176	10.894	11.41	12.224	12.786	13.921	16.124
212	-0.0586	8.9611	0.18673	5.08	5.835	6.33	6.609	7.066	7.392	7.904	8.961	10.169	10.887	11.403	12.217	12.778	13.914	16.118
213	-0.059	8.9539	0.18684	5.075	5.829	6.324	6.603	7.059	7.386	7.897	8.954	10.161	10.879	11.396	12.21	12.771	13.907	16.111
214	-0.0594	8.9468	0.18695	5.07	5.824	6.317	6.597	7.053	7.379	7.891	8.947	10.154	10.872	11.388	12.203	12.764	13.9	16.105
