Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
182	0.0357	9.1247	0.1953	4.957	5.771	6.304	6.605	7.096	7.447	7.996	9.125	10.406	11.164	11.707	12.558	13.143	14.32	16.578
183	0.0345	9.1162	0.19545	4.951	5.765	6.297	6.598	7.089	7.439	7.988	9.116	10.398	11.155	11.698	12.551	13.136	14.314	16.574
184	0.0332	9.1077	0.19561	4.946	5.758	6.29	6.591	7.081	7.431	7.98	9.108	10.389	11.147	11.69	12.543	13.129	14.307	16.57
185	0.032	9.0992	0.19576	4.94	5.751	6.283	6.583	7.073	7.423	7.971	9.099	10.381	11.139	11.682	12.535	13.121	14.301	16.566
186	0.0308	9.0906	0.1959	4.934	5.745	6.276	6.576	7.065	7.415	7.963	9.091	10.372	11.13	11.674	12.527	13.113	14.293	16.561
187	0.0295	9.0821	0.19605	4.928	5.738	6.269	6.569	7.058	7.408	7.955	9.082	10.363	11.122	11.665	12.519	13.106	14.287	16.557
188	0.0283	9.0736	0.19619	4.923	5.732	6.262	6.561	7.05	7.4	7.947	9.074	10.355	11.113	11.657	12.511	13.098	14.28	16.552
189	0.0271	9.065	0.19634	4.917	5.725	6.254	6.554	7.042	7.392	7.939	9.065	10.346	11.105	11.649	12.503	13.09	14.273	16.547
190	0.0259	9.0565	0.19648	4.911	5.718	6.247	6.547	7.035	7.384	7.931	9.057	10.338	11.096	11.64	12.495	13.082	14.266	16.542
191	0.0247	9.048	0.19662	4.905	5.712	6.24	6.539	7.027	7.376	7.923	9.048	10.329	11.087	11.632	12.487	13.075	14.259	16.538
192	0.0235	9.0395	0.19676	4.9	5.705	6.233	6.532	7.02	7.368	7.914	9.04	10.32	11.079	11.623	12.479	13.067	14.252	16.533
193	0.0223	9.0309	0.1969	4.894	5.699	6.226	6.525	7.012	7.36	7.906	9.031	10.312	11.07	11.615	12.47	13.059	14.245	16.528
194	0.0211	9.0224	0.19703	4.889	5.692	6.219	6.518	7.004	7.353	7.898	9.022	10.303	11.062	11.606	12.462	13.051	14.237	16.522
195	0.02	9.0139	0.19717	4.883	5.686	6.212	6.51	6.997	7.345	7.89	9.014	10.294	11.053	11.598	12.454	13.043	14.23	16.517
196	0.0188	9.0054	0.1973	4.877	5.679	6.206	6.503	6.989	7.337	7.882	9.005	10.285	11.044	11.589	12.446	13.035	14.223	16.512
