Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
195	-0.3793	7.0968	0.17257	4.367	4.884	5.226	5.42	5.739	5.969	6.333	7.097	7.994	8.541	8.941	9.583	10.034	10.97	12.877
196	-0.38	7.0919	0.17259	4.364	4.881	5.222	5.416	5.735	5.965	6.328	7.092	7.989	8.535	8.935	9.577	10.028	10.964	12.871
197	-0.3806	7.087	0.17261	4.361	4.877	5.218	5.412	5.731	5.961	6.324	7.087	7.983	8.53	8.929	9.571	10.022	10.958	12.865
198	-0.3813	7.0822	0.17263	4.358	4.874	5.215	5.409	5.727	5.957	6.32	7.082	7.978	8.524	8.924	9.565	10.016	10.952	12.859
199	-0.3819	7.0773	0.17265	4.355	4.871	5.211	5.405	5.723	5.952	6.315	7.077	7.973	8.519	8.918	9.559	10.01	10.945	12.852
200	-0.3826	7.0724	0.17267	4.352	4.867	5.207	5.401	5.719	5.948	6.311	7.072	7.967	8.513	8.912	9.553	10.004	10.939	12.846
201	-0.3832	7.0676	0.17269	4.349	4.864	5.204	5.397	5.715	5.944	6.306	7.068	7.962	8.507	8.907	9.547	9.998	10.933	12.84
202	-0.3839	7.0628	0.17271	4.346	4.861	5.2	5.394	5.711	5.94	6.302	7.063	7.957	8.502	8.901	9.541	9.992	10.927	12.834
203	-0.3845	7.058	0.17273	4.343	4.857	5.197	5.39	5.707	5.936	6.298	7.058	7.951	8.496	8.895	9.536	9.986	10.921	12.827
204	-0.3852	7.0532	0.17275	4.341	4.854	5.193	5.386	5.703	5.932	6.293	7.053	7.946	8.491	8.89	9.53	9.98	10.915	12.821
205	-0.3858	7.0484	0.17277	4.338	4.851	5.19	5.382	5.699	5.928	6.289	7.048	7.941	8.485	8.884	9.524	9.974	10.908	12.815
206	-0.3864	7.0436	0.17279	4.335	4.848	5.186	5.379	5.695	5.924	6.285	7.044	7.936	8.48	8.878	9.518	9.968	10.902	12.809
207	-0.3871	7.0389	0.17281	4.332	4.844	5.183	5.375	5.691	5.92	6.28	7.039	7.931	8.475	8.873	9.512	9.962	10.896	12.803
